Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy,industry_rank,descr,main_score
58,83,90,0,49,50,33,93,21,52,90,50,16,2/8,"China Yuhua Education Corp Ltd is a School College & University** company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",53
0,0,0,0,19,0,0,44,7,27,17,67,20,919/1002,"Qingdao Rural Commercial Bank Corp is a Banking Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",19
37,79,58,0,30,0,34,66,23,32,25,44,51,524/831,"Netflix Inc is a Software & IT Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",32
72,78,94,34,75,82,79,76,67,27,13,71,32,30/120,"Novanta Inc is a Electronic Equipment & Parts company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",60
68,70,69,66,46,8,59,51,49,87,84,95,89,63/404,"Nyfosa AB is a Real Estate Operations company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",67
0,0,0,0,34,8,48,43,37,23,19,49,0,253/332,"Profound Medical Corp is a Healthcare Equipment & Supplies company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",24
18,18,39,0,54,41,46,70,64,30,18,86,8,150/332,"Cardiovascular Systems Inc is a Healthcare Equipment & Supplies company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",40
18,18,39,0,54,41,46,70,64,30,18,86,8,150/332,"Benefytt Technologies Inc is a Healthcare Equipment & Supplies company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",40
80,83,69,83,90,92,84,82,99,73,83,33,86,19/559,"Georg Fischer AG is a Real Estate Operations company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",82
26,26,24,30,35,26,49,35,36,54,44,88,57,190/266,"Energy Absolute PCL is a Electric Utilities & IPPs company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",36
