,company
1773,Group Five Ltd
1774,Central Puerto SA
1775,Chengdu Xingrong Environment Co Ltd
1776,Sai Global Pty Ltd
1777,Evoqua Water Technologies Corp
1778,TQM Corporation PCL
1779,Fangdd Network Group Ltd
1780,Shandong Buchang Pharmaceuticals Co Ltd
1781,Beijer Alma AB
1782,Hypoport SE
1783,WPP PLC
1784,Establishment Labs Holdings Inc
1785,Schroder Oriental Income Fund Ltd
1786,Bharat Electronics Ltd
1787,Country Garden Holdings Co Ltd
1788,Molinos Juan Semino SA
1789,Viking Line Abp
1790,Chugai Pharmaceutical Co Ltd
1791,Seplat Energy PLC
1792,Dah Chong Hong Holdings Ltd
1793,Anavex Life Sciences Corp
1794,Array BioPharma Inc
1795,Amaysim Australia Ltd
1796,Sprouts Farmers Market Inc
1797,AMG Advanced Metallurgical Group NV
1798,Raubex Group Ltd
1799,Jardine Cycle & Carriage Ltd
1800,Atrium Ljungberg AB
1801,Poly Developments and Holdings Group Co Ltd
1802,JCET Group Co Ltd
1803,Village Farms International Inc
1804,Qisda Corp
1805,Finsbury Growth & Income Trust PLC
1806,RBL Bank Ltd
1807,Bank of Chengdu Co Ltd
1808,Inspur Electronic Information Industry Co Ltd
1809,Cineworld Group PLC
1810,Darden Restaurants Inc
1811,David Jones Pty Ltd
1812,Cogeco Inc
1813,Quintis Ltd
1814,Beazley PLC
1815,GlobalData PLC
1816,Compagnie Generale des Etablissements Michelin SCA
1817,HNI Corp
1818,Huntington Bancshares Inc
1819,Randon SA Implementos e Participacoes
1820,Sonic Healthcare Ltd
1821,British American Tobacco (Malaysia) Bhd
1822,Bonterra Energy Corp
1823,Amicus Therapeutics Inc
1824,Absolute Software Corp
1825,Jacquet Metals SA
1826,Leju Holdings Ltd
1827,EnPro Industries Inc
1828,Vesuvius PLC
1829,Nxp USA Inc
1830,Atkore International Group Inc
1831,Covetrus Inc
1832,IHS Markit Ltd
1833,ZoomInfo Technologies Inc
1834,Kordsa Teknik Tekstil AS
1835,Sumco Corp
1836,Skellerup Holdings Ltd
1837,Thai Airways International PCL
1838,Trifast PLC
1839,Hankyu Hanshin Holdings Inc
1840,Canfor Pulp Products Inc
1841,Computer Modelling Group Ltd
1842,WEX Inc
1843,Acrow Formwork and Construction Services Ltd
1844,NTT Data Corp
1845,Cosmo Pharmaceuticals NV
1846,Pandox AB
1847,Hongkong Land Holdings Ltd
1848,Cathay General Bancorp
1849,Accor SA
1850,Ricoh Co Ltd
1851,Northrim BanCorp Inc
1852,Arlo Technologies Inc
1853,J & J Snack Foods Corp
1854,JJB Sports PLC
1855,Dropbox Inc
1856,GFT Technologies SE
1857,Toyoda Gosei Co Ltd
1858,SHL Telemedicine Ltd
1859,Banco Davivienda SA
1860,Magna International Inc
1861,Hilltop Holdings Inc
1862,Softwareone Holding AG
1863,Television Francaise 1 SA
1864,Fabege AB
1865,CML Healthcare Inc (ONTARIO)
1866,Mount Gibson Iron Ltd
1867,Telefonaktiebolaget LM Ericsson
1868,Sparebank 1 SMN
1869,J.Jill Inc
1870,Brickworks Ltd
1871,MTU Aero Engines AG
1872,Arabtec Holding PJSC
1873,Skandinaviska Enskilda Banken AB
1874,Semafo Inc (pre-merger)
1875,Charles River Laboratories International Inc
1876,Uralkaliy PAO
1877,DiGi.Com Bhd
1878,Apple Inc
1879,Cytosorbents Corp
1880,Aannemingsmaatschappij CFE NV
1881,Aluar Aluminio Argentino SAIC
1882,Levi Strauss & Co
1883,Shanghai 2345 Network Holding Group Co Ltd
1884,Champion Iron Ltd
1885,Industrivarden AB
1886,Nissan Chemical Corp
1887,JLT Mobile Computers AB (publ)
1888,Sega Sammy Holdings Inc
1889,BWX Technologies Inc
1890,Rockwool International A/S
1891,Jiangxi Zhengbang Technology Co Ltd
1892,DuPont Fabros Technology Inc
1893,TransDigm Group Inc
1894,Garovaglio y Zorraquin SA
1895,Selcuk Ecza Deposu Ticaret ve Sanayi AS
1896,NAPCO Security Technologies Inc
1897,Ryman Healthcare Ltd
1898,Eneos Holdings Inc
1899,News Corp
1900,Yageo Corp
1901,Inversiones Aguas Metropolitanas SA
1902,Nurix Therapeutics Inc
1903,First Calgary Petroleums Ltd
1904,Direct Line Insurance Group PLC
1905,Copenhagen Airports A/S
1906,Preformed Line Products Co
1907,Nongfu Spring Co Ltd
1908,Wilmar International Ltd
1909,Yuexiu Transport infrastructure Ltd
1910,Goodman Group
1911,Celanese Corp
1912,Syneos Health Inc
1913,Ciech SA
1914,Koolearn Technology Holding Ltd
1915,Alpek SAB de CV
1916,MISC Bhd
1917,Pilbara Minerals Ltd
1918,Indiabulls Housing Finance Ltd
1919,Freescale Semiconductor Ltd
1920,Rhythm Pharmaceuticals Inc
1921,Virgin Media Inc (PRE-MERGER)
1922,Natures Sunshine Products Inc
1923,Alexandria Real Estate Equities Inc
1924,Bank of Greece
1925,Sun Hung Kai Properties Ltd
1926,Rockwell Automation Inc
1927,Brighthouse Financial Inc
1928,Alfa SAB de CV
1929,Grupo Concesionario del Oeste SA
1930,Jasmine International PCL
1931,Fastly Inc
1932,Midland States Bancorp Inc
1933,Wisdom Tree Investments Inc
1934,Meitec Corp
1935,Principia Biopharma Inc
1936,Lagardere SCA
1937,Gardner Denver Inc
1938,Senex Energy Ltd
1939,Luz del Sur SAA
1940,Netcomm Wireless Pty Ltd
1941,AusNet Services Ltd
1942,Ningbo Tuopu Group Co Ltd
1943,DTE Energy Co
1944,Golden Agri-Resources Ltd
1945,Steven Madden Ltd
1946,Travelport Worldwide Ltd
1947,Clorox Co
1948,Delta Electronics Thailand PCL
1949,eGain Corp
1950,Xinyi Solar Holdings Ltd
1951,Mizrahi Tefahot Bank Ltd
1952,Oi SA em Recuperacao Judicial
1953,Havells India Ltd
1954,Agrana Beteiligungs AG
1955,Newage Inc
1956,Imperial Oil Ltd
1957,Mitsubishi UFJ Lease & Finance Co Ltd
1958,Stagecoach Group PLC
1959,Major Cineplex Group PCL
1960,Kaupthing ehf
1961,Woolworths Group Ltd
1962,Enel Generacion Costanera SA
1963,Canadian Oil Sands Ltd
1964,Jafron Biomedical Co Ltd
1965,Toyo Seikan Group Holdings Ltd
1966,Nine Dragons Paper (Holdings) Ltd
1967,Banco del Bajio SA Institucion de Banca Multiple
1968,Empresas Copec SA
1969,Compuware Corp
1970,Etteplan Oyj
1971,Manhattan Associates Inc
1972,BGF Co Ltd
1973,Mitsui E&S Holdings Co Ltd
1974,Comcast Corp
1975,Amphastar Pharmaceuticals Inc
1976,Befimmo SA
1977,Bazaarvoice Inc
1978,BWP Trust
1979,Shanxi Xishan Coal and Electricity Power Co Ltd
1980,Checkpoint Therapeutics Inc
1981,Ruentex Development Co Ltd
1982,Polyphor AG
1983,Merdeka Copper Gold Tbk PT
1984,Popeyes Louisiana Kitchen Inc
1985,Madrigal Pharmaceuticals Inc
1986,Manappuram Finance Ltd
1987,Hummingbird Resources PLC
1988,Eagle Bulk Shipping Inc
1989,Temple-Inland LLC
1990,Singapore Airlines Ltd
1991,Azbil Corp
1992,Huagong Tech Co Ltd
1993,Goodman Fielder Pty Ltd
1994,WestJet Airlines Ltd
1995,GlaxoSmithKline PLC
1996,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen
1997,Turkiye Vakiflar Bankasi TAO
1998,Viemed Healthcare Inc
1999,Eastgroup Properties Inc
2000,DKSH Holding AG
2001,Harvest Energy Trust
2002,Terveystalo Oyj
2003,Ebix Inc
2004,Veolia Environnement SA
2005,EnLink Midstream LLC
2006,Continental AG
2007,Robinsons Land Corp
2008,CME Group Inc
2009,NexPoint Residential Trust Inc
2010,Shoe Carnival Inc
2011,Zimmer Biomet Holdings Inc
2012,BIM Birlesik Magazalar AS
2013,El Sewedy Electric Co SAE
2014,Carefusion Corp
2015,Kakao Corp
2016,Xcerra Corp
2017,Eiffage SA
2018,Muthoot Finance Ltd
2019,Probi AB
2020,OPTIMIZERx Corp
2021,Monks Investment Trust PLC
2022,HighPoint Resources Corp
2023,Calpine Corp
2024,AssetMark Financial Holdings Inc
2025,Sodexo SA
2026,Tredegar Corp
2027,Lifeway Foods Inc
2028,MOL Magyar Olajes Gazipari Nyrt
2029,IDT Corp
2030,Ascena Retail Group Inc
2031,Gamuda Bhd
2032,Stamps.Com Inc
2033,Bharti Airtel Ltd
2034,PetSmart Inc
2035,Rabigh Refining and Petrochemical Company SJSC
2036,Bell Equipment Ltd
2037,BioXcel Therapeutics Inc
2038,Formulafirst Ltd
2039,Bottomline Technologies (DE) Inc
2040,Tianfeng Securities Co Ltd
2041,CK Infrastructure Holdings Ltd
2042,Adcock Ingram Holdings Ltd
2043,Kraft Heinz Co
2044,KEYW Holding Corp
2045,Shimachu Co Ltd
2046,Domino's Pizza Group PLC
2047,Phoslock Environmental Technologies Ltd
2048,CVR Energy Inc
2049,Turning Point Brands Inc
2050,Reject Shop Ltd
2051,Zhejiang Huayou Cobalt Co Ltd
2052,Primoris Services Corp
2053,Green Dot Corp
2054,Autobacs Seven Co Ltd
2055,Select Interior Concepts Inc
2056,QAD Inc
2057,TeamHealth Holdings Inc
2058,Dow Jones & Company Inc
2059,FirstCash Inc
2060,Whitney Holding Corp
2061,Autozone Inc
2062,Chatham Lodging Trust
2063,Baillie Gifford Shin Nippon PLC
2064,PDG Realty SA Empreendimentos e Participacoes
2065,Emirates Integrated Telecommunications Company PJSC
2066,Hyundai Glovis Co Ltd
2067,Bellicum Pharmaceuticals Inc
2068,Vivendi SE
2069,Mizuho Financial Group Inc
2070,CBL Corporation Ltd
2071,Nextier Oilfield Solutions Inc
2072,Leroy Seafood Group ASA
2073,H & R Block Inc
2074,Annexon Inc
2075,Nankai Electric Railway Co Ltd
2076,Rio Alto Mining Ltd (Pre-Merger)
2077,Coface SA
2078,Lumos Networks Corp
2079,MonotaRO Co Ltd
2080,Shockwave Medical Inc
2081,Arrow Energy Pty Ltd
2082,Royal Imtech NV
2083,IAC/Interactivecorp
2084,China National Medicines Corp Ltd
2085,Central Glass Co Ltd
2086,Avaya Holdings Corp
2087,TUI Travel Ltd
2088,Trevali Mining Corp
2089,Beiersdorf AG
2090,Moxian (BVI) Inc
2091,Mead Johnson Nutrition Co
2092,Cosan SA
2093,Catlin Group Ltd
2094,Dixons Retail Group Ltd
2095,Fair Isaac Corp
2096,Expedia Group Inc
2097,Zheneng Jinjiang Environment Holding Co Ltd
2098,Fluidigm Corp
2099,Hersha Hospitality Trust
2100,ALAFCO Avaiation Lease and Finance Co KSCP
2101,Bank Leumi Le Israel BM
2102,Golden Ocean Group Ltd
2103,Oji Holdings Corp
2104,Alumina Ltd
2105,Pfeiffer Vacuum Technology AG
2106,Alpargatas SA
2107,Hang Lung Group Ltd
2108,Equinox Minerals Ltd
2109,WashingtonFirst Bankshares Inc
2110,Rogers Communications Inc
2111,accesso Technology Group PLC
2112,BJ's Wholesale Club Inc
2113,Beijing Oriental Yuhong Waterproof Technology Co Ltd
2114,EIS Eczacibasi Ilac Sinai ve Finansal Yatirimlar Sanayi ve Ticaret AS
2115,Columbia Sportswear Co
2116,Jfrog Ltd
2117,Oue Commercial Real Estate Investment Trust
2118,Golden Eagle Retail Group Ltd
2119,Nokia of America Corp
2120,Bluestar Adisseo Co
2121,Buru Energy Ltd
2122,MVB Financial Corp
2123,Methode Electronics Inc
2124,Haci Omer Sabanci Holding AS
2125,Hydrofarm Holdings Group Inc
2126,Qunar Cayman Islands Ltd
2127,Merry Electronics Co Ltd
2128,World Color Press Inc
2129,Debenhams PLC
2130,Syndax Pharmaceuticals Inc
2131,Dubai Financial Market PJSC
2132,Douglas Holding AG
2133,Petmin Ltd
2134,ETC Sunoco Holdings LLC
2135,J D Wetherspoon PLC
2136,Isoft Group Pty Ltd
2137,Shoppers Drug Mart Corp
2138,Neles Oyj
2139,Radius Global Infrastructure Inc
2140,Giordano International Ltd
2141,Blueprint Medicines Corp
2142,DiaSorin SpA
2143,Energy Future Holdings Corp
2144,Metals X Ltd
2145,Business Connexion Group Ltd
2146,SBS Transit Ltd
2147,Cohu Inc
2148,Check Point Software Technologies Ltd
2149,CorePoint Lodging Inc
2150,SolarWinds Corp
2151,SendGrid Inc
2152,Hays PLC
2153,Betsson AB
2154,Bemis Company Inc
2155,Mayne Pharma Group Ltd
2156,Braskem SA
2157,Alexium International Group Ltd
2158,Bank of Kyoto Ltd
2159,Trip.com Group Ltd
2160,Hugo Boss AG
2161,Martin Marietta Materials Inc
2162,Crucell NV
2163,Hannstar Display Corp
2164,Chinook Therapeutics Inc
2165,XANO Industri AB
2166,Hokuhoku Financial Group Inc
2167,Taylor Wimpey PLC
2168,Sparebanken Vest
2169,Japan Steel Works Ltd
2170,William Lyon Homes
2171,Shougang Fushan Resources Group Ltd
2172,Keisei Electric Railway Co Ltd
2173,Tencent Music Entertainment Group
2174,Azelio AB
2175,Surface Oncology Inc
2176,Allakos Inc
2177,P/F Bakkafrost
2178,UST LLC (Delaware)
2179,Reliance Petroleum Ltd
2180,Simplo Technology Co Ltd
2181,Eastern Company SAE
2182,Webster Ltd
2183,Neptune Wellness Solutions Inc
2184,Microsoft Corp
2185,Jamieson Wellness Inc
2186,Wanhua Chemical Group Co Ltd
2187,GuocoLand Ltd
2188,Nipro Corp
2189,LCY Chemical Corp
2190,Gruppa LSR PAO
2191,Sanquan Food Co Ltd
2192,Peoples Financial Services Corp
2193,Donaco International Ltd
2194,Cambium Learning Group Inc
2195,Lucara Diamond Corp
2196,Conzzeta AG
2197,Pantheon International PLC
2198,Akamai Technologies Inc
2199,Metlifecare Ltd
2200,Midwestone Financial Group Inc (IOWA)
2201,Red 5 Ltd
2202,Nationwide Health Properties Inc
2203,Sino Biopharmaceutical Ltd
2204,Corporacion Aceros Arequipa SA
2205,W. R. Berkley Corp
2206,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd
2207,Concha y Toro Winery Inc
2208,Wotif.com Holdings Ltd
2209,Rapala VMC Corp
2210,Wipro Ltd
2211,Immunitybio Inc
2212,Hycroft Mining Corp
2213,Sekerbank TAS
2214,Bosideng International Holdings Ltd
2215,Pushpay Holdings Ltd
2216,Vulcan Materials Co
2217,Australian Agricultural Company Ltd
2218,Sanrio Co Ltd
2219,Vector Group Ltd
2220,Credito Emiliano SpA
2221,Datalogic SpA
2222,Dairy Farm International Holdings Ltd
2223,Great Canadian Gaming Corp
2224,CentralNic Group Plc
2225,Bankers Petroleum Ltd (Pre-Merger)
2226,Bellway PLC
2227,Brightview Holdings Inc
2228,Cleveland-Cliffs Inc
2229,Grupo Clarin SA
2230,SFS Group AG
2231,Zendesk Inc
2232,HDC Holdings Co Ltd
2233,Shanghai Tunnel Engineering Co Ltd
2234,DaShenLin Pharmaceutical Group Co Ltd
2235,Grendene SA
2236,Jihua Group Corp Ltd
2237,Tus Environmental Science and Technology Development Co Ltd
2238,GCL-Poly Energy Holdings Ltd
2239,Ultra Petroleum Corp
2240,Korian SA
2241,Hanwha Corp
2242,Guangzhou Yuexiu Financial Holdings Group Co Ltd
2243,CD Projekt SA
2244,Banco Macro SA
2245,St.Shine Optical Co Ltd
2246,Sofina SA
2247,Five Star Senior Living Inc
2248,Perdoceo Education Corp
2249,Frontdoor Inc
2250,Julius Baer Gruppe AG
2251,Tecan Group AG
2252,Superdry PLC
2253,Sosei Group Corp
2254,Mears Group PLC
2255,Swedish Orphan Biovitrum AB (publ)
2256,Mechel PAO
2257,Cementos Pacasmayo SAA
2258,Jumia Technologies AG
2259,Brilliance China Automotive Holdings Ltd
2260,Dycasa SA
2261,FirstService Corp
2262,GCP Infrastructure Investments Ltd
2263,Aecc Aero Engine Control Co Ltd
2264,Toda Corp
2265,Jeronimo Martins SGPS SA
2266,Great Eastern Holdings Ltd
2267,Alpiq Holding AG
2268,Tripod Technology Corp
2269,Coles Group Ltd
2270,Challenger Ltd
2271,Southern National Bancorp of Virginia Inc
2272,Alteogen Inc
2273,Trustpower Ltd
2274,ClubCorp Holdings Inc
2275,Assurant Inc
2276,Turkiye Petrol Rafinerileri AS
2277,Ashok Leyland Ltd
2278,Dexus
2279,American Eagle Outfitters Inc
2280,Crestwood Equity Partners LP
2281,EMC Insurance Group Inc
2282,China Jo-Jo Drugstores Holdings Inc
2283,Finning International Inc
2284,Dova Pharmaceuticals Inc
2285,Prosegur Compania de Seguridad SA
2286,Australian Ethical Investment Ltd
2287,Canadian Tire Corporation Ltd
2288,China Resources Sanjiu Medical & Pharmaceutical Co Ltd
2289,Sonoco Products Co
2290,Melexis NV
2291,DLF Ltd
2292,Sumitomo Osaka Cement Co Ltd
2293,Nilorngruppen AB
2294,Sojitz Corp
2295,Anglo Pacific Group PLC
2296,Caribbean Utilities Company Ltd
2297,Gem Diamonds Ltd
2298,Arezzo Industria e Comercio SA
2299,NVIDIA Corp
2300,LyondellBasell Industries NV
2301,Premier Farnell Ltd
2302,Lonmin Ltd
2303,Marcopolo SA
2304,XXL ASA
2305,Revance Therapeutics Inc
2306,HSBC Holdings PLC
2307,Clarkson PLC
2308,Synaptics Inc
2309,WP Carey Inc
2310,Verisk Analytics Inc
2311,Ahli Bank SAOG
2312,Kansai Electric Power Co Inc
2313,Wec Acquisition Corp
2314,GigaDevice Semiconductor Beijing Inc
2315,Weyerhaeuser Co
2316,Vozrozhdeniye Bank
2317,Revlon Inc
2318,Killam Apartment REIT
2319,Sysco Corp
2320,Vocation Ltd
2321,Italgas SpA
2322,Keio Corp
2323,Deciphera Pharmaceuticals Inc
2324,Cosmote Mobile Telecommunications SA
2325,Lehto Group Oyj
2326,Zhongsheng Group Holdings Ltd
2327,Cosmo Oil Co Ltd
2328,V-ZUG Holding AG
2329,Uniqure NV
2330,Towngas China Company Ltd
2331,Lafarge SA
2332,DNA Oyj
2333,Electro Optic Systems Holdings Ltd
2334,Kaman Corp
2335,KGHM Polska Miedz SA
2336,MaxiTRANS Industries Ltd
2337,Burckhardt Compression Holding AG
2338,Intertape Polymer Group Inc
2339,ETSY Inc
2340,Airtac International Group
2341,Cirrus Logic Inc
2342,Chubb Corp
2343,Cross Country Healthcare Inc
2344,Guangzhou Kingmed Diagnostics Group Co Ltd
2345,Kforce Inc
2346,Reece Ltd
2347,First Potomac Realty Trust
2348,Teekay LNG Partners LP
2349,Asahi Group Holdings Ltd
2350,Nexteer Automotive Group Ltd
2351,Nexus AG
2352,Kuraray Co Ltd
2353,Hang Lung Properties Ltd
2354,Norfolk Southern Corp
2355,AGFA Gevaert NV
2356,MTS Systems Corp
2357,Maruichi Steel Tube Ltd
2358,ManpowerGroup Inc
2359,Admiral Group PLC
2360,Daseke Inc
2361,Speedway Motorsports LLC
2362,Enterprise Products Partners LP
2363,Northland Power Inc
2364,Elanders AB
2365,Gambro AB
2366,Fidelity European Values PLC
2367,Ackermans & Van Haaren NV
2368,Tap Oil Ltd
2369,Corus Group Ltd
2370,Ponsse Oyj
2371,Pan African Resources PLC
2372,Falabella SA
2373,Midsummer AB
2374,Pebblebrook Hotel Trust
2375,Fullshare Holdings Ltd
2376,Kangmei Pharmaceutical Co Ltd
2377,Aselsan Elektronik Sanayi ve Ticaret AS
2378,Olvi Oyj
2379,Bank Muscat SAOG
2380,Vectren Corp
2381,Wuxi Shangji Automation Co Ltd
2382,Leidos Holdings Inc
2383,ITC Holdings Corp
2384,Floor & Decor Holdings Inc
2385,PixArt Imaging Inc
2386,Grupo Bimbo SAB de CV
2387,Fitbit Inc
2388,Great-West Lifeco Inc
2389,Axcelis Technologies Inc
2390,Evotec SE
2391,Shandong Hualu Hengsheng Chemical Co Ltd
2392,Walsin Lihwa Corp
2393,St. James's Place PLC
2394,Sangfor Technologies Inc
2395,Provident Financial PLC
2396,Hyundai Motor Co
2397,Rentokil Initial PLC
2398,United States Cellular Corp
2399,Tassal Group Ltd
2400,Raiffeisen Bank International AG
2401,Ardelyx Inc
2402,NGK Insulators Ltd
2403,Bumrungrad Hospital PCL
2404,Pacific Current Group Ltd
2405,Charah Solutions Inc
2406,Outokumpu Oyj
2407,Connacher Oil and Gas Ltd (Pre-Merger)
2408,McAfee LLC
2409,Westport Fuel Systems Inc
2410,Translate Bio Inc
2411,Neurobo Pharmaceuticals Inc
2412,Areva SA
2413,FVCBankcorp Inc
2414,Jungfraubahn Holding AG
2415,Bionomics Ltd
2416,Medy Tox Inc
2417,Celldex Therapeutics Inc
2418,Assystem SA
2419,Empresa Nacional de Telecomunicaciones SA
2420,Orrstown Financial Services Inc
2421,Sharps Compliance Corp
2422,Beijing Capital Co Ltd
2423,Suofeiya Home Collection Co Ltd
2424,Diplomat Pharmacy Inc
2425,Equitrans Midstream Corp
2426,Borussia Dortmund GmbH & Co KGaA
2427,Whole Foods Market Inc
2428,Ohio Valley Banc Corp
2429,Stefanutti Stocks Holdings Ltd
2430,Siili Solutions Oyj
2431,Romarco Minerals Inc
2432,Flugger group A/S
2433,Centrais Eletricas Brasileiras SA
2434,DXC Technology Co
2435,Regal Beloit Corp
2436,EMC Corp
2437,China BlueChemical Ltd
2438,Hong Kong and China Gas Co Ltd
2439,Blue Star Ltd
2440,Novolipetsk Steel PAO
2441,Twin Disc Inc
2442,CITIC Guoan Information Industry Co Ltd
2443,Chengdu Kanghong Pharmaceutical Group Co Ltd
2444,First Pacific Co Ltd
2445,Relx PLC
2446,Momenta Pharmaceuticals Inc
2447,SKY Network Television Ltd
2448,Russel Metals Inc
2449,CoBiz Financial Inc
2450,Beacon Roofing Supply Inc
2451,Hardwoods Distribution Inc
2452,Transportadora de Gas del Sur SA
2453,AVEVA Group PLC
2454,Yeti Holdings Inc
2455,Boyd Group Services Inc
2456,Addtech AB
2457,Dewhurst PLC
2458,Hankook Tire & Technology Co Ltd
2459,Oncopeptides AB
2460,Citizens Financial Group Inc
2461,Shanghai Fosun Pharmaceutical Group Co Ltd
2462,Pampa Energia SA
2463,Bank Dhofar SAOG
2464,SalMar ASA
2465,HELLA GmbH & Co KGaA
2466,RIT Capital Partners PLC
2467,Societe BIC SA
2468,SDL PLC
2469,Goodman Sub Trust Australia
2470,Watts Water Technologies Inc
2471,Ruhnn Holding Ltd
2472,Lonking Holdings Ltd
2473,Kalvista Pharmaceuticals Inc
2474,Bahrain Duty Free Shop Complex BSC
2475,Diligent Corp (Pre-Merger)
2476,FangDa Carbon New Material Co Ltd
2477,YRC Worldwide Inc
2478,Fastweb SpA
2479,Zignago Vetro SpA
2480,Perfect World Co Ltd
2481,Schiehallion Fund Ltd
2482,Invesque Inc
2483,Westpac Banking Corp
2484,Venus Medtech Hangzhou Inc
2485,Schulthess Group AG
2486,Resideo Technologies Inc
2487,Xperi Holding Corp
2488,Fidelity D&D Bancorp Inc
2489,Nikko Cordial Corp
2490,Hyundai Mobis Co Ltd
2491,VIRTU ITG HOLDINGS LLC
2492,Jack in the Box Inc
2493,Extra Space Storage Inc
2494,Molycorp Inc
2495,Glanbia PLC
2496,Toyobo Co Ltd
2497,Medipharm Labs Corp
2498,Alviva Holdings Ltd
2499,Tangshan Jidong Cement Co Ltd
2500,Cardtronics PLC
2501,Founder Securities Co Ltd
2502,Construtora Tenda SA
2503,Immoeast AG
2504,Kingsgate Consolidated Ltd
2505,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA
2506,Alnylam Pharmaceuticals Inc
2507,Anadolu Cam Sanayii AS
2508,Fnac Darty SA
2509,Greif Inc
2510,Burren Energy PLC
2511,Avient Corp
2512,Federal Hydro-Generating Company RusHydro PAO
2513,Klepierre SA
2514,PFSweb Inc
2515,Reynolds American Inc
2516,Bilfinger SE
2517,Stagwell Inc
2518,WSP Global Inc
2519,Eli Lilly and Co
2520,Westwood Holdings Group Inc
2521,M Dias Branco SA Industria e Comercio de Alimentos
2522,Malibu Boats Inc
2523,Brunel International NV
2524,Nestle SA
2525,Biomarin Pharmaceutical Inc
2526,Champions Oncology Inc
2527,Xinyuan Real Estate Co Ltd
2528,Marriott International Inc
2529,NTT Docomo Inc
2530,Boohoo Group PLC
2531,OSI Systems Inc
2532,Venus Concept Inc
2533,Mediobanca Banca di Credito Finanziario SpA
2534,Aurora Mobile Ltd
2535,Japan Petroleum Exploration Co Ltd
2536,Coalspur Mines Pty Ltd
2537,Potbelly Corp
2538,CVS Group PLC
2539,Rigel Pharmaceuticals Inc
2540,Greenland Minerals Ltd
2541,Dechra Pharmaceuticals PLC
2542,Sociedad Comercial del Plata SA
2543,China Railway Hi-tech Industry Corp Ltd
2544,China Taiping Insurance Holdings Co Ltd
2545,FNCB Bancorp Inc
2546,Geberit AG
2547,Methanex Corp
2548,TPCO Holding Corp
2549,RealPage Inc
2550,Northrop Grumman Innovation Systems Inc
2551,Albemarle Corp
2552,Icade SA
2553,FamilyMart Co Ltd
2554,Chaoda Modern Agriculture Holdings Ltd
2555,Nektar Therapeutics
2556,Caixabank SA
2557,St Modwen Properties PLC
2558,Macquarie Mexico Real Estate Management SA de CV
2559,Divi's Laboratories Ltd
2560,HealthStream Inc
2561,Arab Bank PLC
2562,Tate & Lyle PLC
2563,Zotefoams PLC
2564,Netcare Ltd
2565,ZTO Express (Cayman) Inc
2566,China Petroleum & Chemical Corp
2567,Salisbury Bancorp Inc
2568,Decmil Group Ltd
2569,BOE Technology Group Co Ltd
2570,NEXTDC Ltd
2571,Gohealth Inc
2572,Amada Co Ltd
2573,Bridgewater Bancshares Inc
2574,Daylight Energy Ltd
2575,Northgate Minerals Corp
2576,Cofinimmo SA
2577,DS Smith PLC
2578,JFE Holdings Inc
2579,Swiss Prime Site AG
2580,FMC Technologies Inc
2581,Pola Orbis Holdings Inc
2582,New York Mortgage Trust Inc
2583,China Feihe Ltd
2584,National Instruments Corp
2585,China Everbright Ltd
2586,Lloyds Banking Group PLC
2587,Twist Bioscience Corp
2588,Befesa SA
2589,Wuxi Taiji Industry Ltd Corp
2590,Aeroflot-Rossiyskiye Avialinii PAO
2591,Mustang Bio Inc
2592,Yuanta Financial Holdings Co Ltd
2593,European Cannabis Corporation Ltd
2594,Renewi PLC
2595,China Shineway Pharmaceutical Group Ltd
2596,Renren Inc
2597,Elringklinger AG
2598,Shizuoka Bank Ltd
2599,VFS Global Investments AG
2600,Zealand Pharma A/S
2601,Sigma Healthcare Ltd
2602,Vossloh AG
2603,Corecivic Inc
2604,Romeo Power Inc
2605,PTT PCL
2606,BlackBerry Ltd
2607,GSI Technology Inc
2608,Sohgo Security Services Co Ltd
2609,Canoe EIT Income Fund
2610,Acas LLC
2611,Sims Ltd
2612,Companhia Paranaense de Energia
2613,Gruppo MutuiOnline SpA
2614,Hoegh LNG Holdings Ltd
2615,SWK Holdings Corp
2616,Axfood AB
2617,Equity LifeStyle Properties Inc
2618,Dufry AG
2619,Indraprastha Gas Ltd
2620,Texas Capital Bancshares Inc
2621,Anaplan Inc
2622,Hokkaido Electric Power Co Inc
2623,MGM China Holdings Ltd
2624,US Concrete Inc
2625,Vail Resorts Inc
2626,Pangang Group Vanadium Titanium & Resources Co Ltd
2627,Cloudflare Inc
2628,Blue Label Telecoms Ltd
2629,Virgin America Inc
2630,AP Moeller - Maersk A/S
2631,Toyota Boshoku Corp
2632,Gloucester Coal Ltd
2633,Cheil Industries Inc
2634,SolGold PLC
2635,Net Servicos de Comunicacao SA
2636,Headwaters Inc
2637,Flughafen Zuerich AG
2638,Komatsu Ltd
2639,STADA Arzneimittel AG
2640,Shimamura Co Ltd
2641,Sun Life Financial Inc
2642,NCC AB
2643,Oyster Point Pharma Inc
2644,A2 Milk Company Ltd
2645,TNS Group Holdings Ltd
2646,Gujarat State Petronet Ltd
2647,Xchanging Ltd
2648,Riverbed Technology Inc
2649,TPI Composites Inc
2650,Banro Corp
2651,Akbank TAS
2652,Adapteo Oyj
2653,Serko Ltd
2654,Lydall Inc
2655,Krung Thai Bank PCL
2656,OrganiGram Holdings Inc
