,company
218,Baby Bunting Group Ltd
219,Schnitzer Steel Industries Inc
220,MMA Capital Holdings Inc
221,Avast PLC
222,Tenaris SA
223,Watpac Ltd
224,Grupo Security SA
225,Kodiak Sciences Inc
226,Yamaguchi Financial Group Inc
227,Semcon AB
228,Springfield Properties PLC
229,Telelogic AB
230,RPX Corp
231,China Online Education Group
232,Invicta Holdings Ltd
233,Kilroy Realty Corp
234,Biesse SpA
235,Indutrade AB
236,Cadila Healthcare Ltd
237,Zynerba Pharmaceuticals Inc
238,China Longyuan Power Group Corp Ltd
239,Banco de Bogota SA
240,Empire District Electric Co
241,JMT Network Services PCL
242,Cairo Communication SpA
243,Pershing Square Holdings Ltd
244,Mapletree Logistics Trust
245,Fidessa Group Holdings Ltd
246,Gunkul Engineering PCL
247,B2W Companhia Digital
248,Abbvie Inc
249,China Foods Ltd
250,Cinemark Holdings Inc
251,Cyclerion Therapeutics Inc
252,Watkin Jones PLC
253,HeidelbergCement AG
254,Hysan Development Co Ltd
255,Henderson Land Development Co Ltd
256,Covance Inc
257,Rapid Nutrition PLC
258,Billabong International Ltd
259,Seven West Media Ltd
260,Fielmann AG
261,Polypore International LP
262,Aeglea Bio Therapeutics Inc
263,Heroux Devtek Inc
264,Guangdong Hec Technology Holding Co Ltd
265,Ooh!Media Ltd
266,Nordion Inc
267,Financial Institutions Inc
268,MorphoSys AG
269,Cyberark Software Ltd
270,Australand Property Group
271,Shanghai Yuyuan Tourist Mart Group Co Ltd
272,Dongfang Electric Corp Ltd
273,DREAM Unlimited Corp
274,Lantheus Holdings Inc
275,Equitable Group Inc
276,GEK TERNA Holdings Real Estate Construction SA
277,WPX Energy Inc
278,Nisshin Seifun Group Inc
279,China Life Insurance Co Ltd
280,Mimecast Ltd
281,ViewRay Inc
282,Hulic Co Ltd
283,Walt Disney Co
284,Rural Funds Group
285,Juniper Networks Inc
286,Kadant Inc
287,Matrix Composites & Engineering Ltd
288,Progressive Corp
289,Commercial Bank of Kuwait KPSC
290,Extract Group Ltd
291,Gci Liberty Inc
292,Bolsa Mexicana de Valores SAB de CV
293,Betfair Group Ltd
294,IPH Ltd
295,Kongsberg Automotive ASA
296,Enel Generacion Chile SA
297,Moncler SpA
298,EVN AG
299,CSG Holding Co Ltd
300,Shanghai Bairun Investment Holding Group Co Ltd
301,GCP Applied Technologies Inc
302,Hertz Global Holdings Inc
303,Community Financial Corp(Maryland)
304,Boardwalk Real Estate Investment Trust
305,Qatar Navigation QPSC
306,Sociedad Minera Cerro Verde SAA
307,International Personal Finance PLC
308,Charter Hall Group
309,Hongfa Technology Co Ltd
310,Spark Infrastructure Group
311,Peab AB
312,JPMorgan European Smaller Companies Trust PLC
313,Sparebank 1 Ostlandet
314,Bubs Australia Ltd
315,MGM Growth Properties LLC
316,NAK Kazatomprom AO
317,Giralia Resources Pty Ltd
318,VWR Corp
319,Sensient Technologies Corp
320,GCP Student Living PLC
321,IAA Inc
322,Rohm Co Ltd
323,SK Hynix Inc
324,Ivanhoe Energy Inc
325,Bank Negara Indonesia (Persero) Tbk PT
326,NRC Group ASA
327,IOI Properties Group Bhd
328,Jiangsu Yanghe Brewery Joint-Stock Co Ltd
329,Knowit AB (publ)
330,ICICI Lombard General Insurance Company Ltd
331,Australian Gas Networks Ltd
332,Fresenius SE & Co KGaA
333,Qorvo Inc
334,Hyatt Hotels Corp
335,Gree Electric Appliances Inc of Zhuhai
336,Midwest Holding Inc
337,A-Mark Precious Metals Inc
338,Old Line Bancshares Inc
339,Mobilezone Holding AG
340,Cellectis SA
341,Orascom Construction Industries SAE
342,Yokohama Rubber Co Ltd
343,Berjaya Corporation Bhd
344,Fortuna Silver Mines Inc
345,State Street Corp
346,Benesse Holdings Inc
347,OrthoPediatrics Corp
348,SLM Corp
349,Edion Corp
350,Vilmorin & Cie SA
351,Sumitomo Mitsui Trust Holdings Inc
352,CropEnergies AG
353,Murata Manufacturing Co Ltd
354,Countrywide PLC
355,ABN Amro Bank NV
356,American Railcar Industries Inc
357,TreeHouse Foods Inc
358,BTG Hotels Group Co Ltd
359,Meinian Onehealth Healthcare Holdings Co Ltd
360,Ocean Rig UDW Inc
361,NewSat Ltd
362,Boiron SA
363,MMC Corporation Bhd
364,KBR Inc
365,Clifton Bancorp Inc
366,Cavotec SA
367,LifeWorks Inc
368,Koninklijke KPN NV
369,Sumitomo Metal Industries Ltd
370,Staples Inc
371,Aditya Birla Nuvo Ltd
372,Carlos Casado SA
373,Consolidated Water Co Ltd
374,Synchronoss Technologies Inc
375,Mobileye BV
376,Knight Transportation Inc
377,CGG SA
378,Celltrion Inc
379,Niko Resources Ltd
380,Adaptimmune Therapeutics PLC
381,Chongqing Changan Automobile Co Ltd
